iter	Passed	Remaining
0	219	219038
1	250	125170
2	269	89575
3	288	71906
4	301	60041
5	313	51974
6	326	46304
7	341	42381
8	359	39631
9	379	37609
10	392	35303
11	406	33482
12	422	32047
13	438	30888
14	450	29551
15	462	28420
16	471	27272
17	484	26418
18	496	25617
19	505	24761
20	517	24114
21	526	23399
22	535	22751
23	544	22141
24	553	21591
25	563	21092
26	573	20654
27	583	20251
28	592	19848
29	604	19544
30	615	19240
31	626	18948
32	635	18618
33	645	18339
34	654	18038
35	664	17799
36	677	17620
37	689	17445
38	702	17320
39	718	17252
40	729	17062
41	742	16935
42	756	16846
43	770	16741
44	783	16626
45	794	16467
46	805	16332
47	817	16213
48	828	16088
49	842	15999
50	854	15896
51	863	15744
52	873	15607
53	884	15490
54	893	15358
55	905	15256
56	914	15132
57	924	15007
58	933	14891
59	943	14779
60	955	14710
61	965	14601
62	975	14504
63	986	14428
64	998	14360
65	1008	14267
66	1017	14173
67	1026	14064
68	1034	13959
69	1044	13871
70	1053	13782
71	1063	13708
72	1072	13614
73	1080	13521
74	1088	13424
75	1097	13345
76	1106	13260
77	1115	13190
78	1124	13111
79	1133	13029
80	1141	12949
81	1149	12866
82	1157	12784
83	1165	12711
84	1174	12644
85	1182	12568
86	1191	12504
87	1200	12437
88	1210	12394
89	1219	12334
90	1228	12274
91	1236	12207
92	1245	12146
93	1254	12086
94	1262	12023
95	1270	11962
96	1278	11904
97	1288	11856
98	1296	11800
99	1306	11754
100	1317	11722
101	1326	11675
102	1335	11628
103	1344	11580
104	1355	11551
105	1365	11516
106	1374	11469
107	1382	11421
108	1391	11374
109	1399	11322
110	1408	11279
111	1416	11230
112	1427	11203
113	1435	11156
114	1444	11117
115	1453	11076
116	1460	11025
117	1470	10991
118	1478	10946
119	1486	10903
120	1495	10865
121	1504	10830
122	1513	10791
123	1523	10763
124	1533	10731
125	1541	10689
126	1549	10653
127	1558	10616
128	1568	10587
129	1576	10550
130	1586	10521
131	1594	10487
132	1603	10452
133	1616	10445
134	1624	10408
135	1633	10378
136	1643	10351
137	1653	10328
138	1662	10298
139	1672	10273
140	1682	10253
141	1691	10221
142	1701	10195
143	1708	10158
144	1718	10132
145	1727	10106
146	1737	10082
147	1747	10058
148	1755	10027
149	1764	10000
150	1773	9968
151	1781	9941
152	1790	9910
153	1799	9884
154	1809	9863
155	1817	9834
156	1827	9814
157	1836	9787
158	1846	9764
159	1855	9739
160	1863	9712
161	1872	9688
162	1881	9663
163	1890	9638
164	1899	9614
165	1909	9592
166	1918	9571
167	1929	9553
168	1939	9535
169	1949	9519
170	1961	9506
171	1971	9490
172	1982	9476
173	1993	9461
174	2002	9438
175	2014	9430
176	2024	9411
177	2033	9388
178	2044	9376
179	2053	9355
180	2062	9333
181	2072	9313
182	2081	9290
183	2089	9267
184	2098	9243
185	2107	9224
186	2116	9202
187	2126	9186
188	2135	9164
189	2144	9141
190	2154	9123
191	2164	9107
192	2174	9093
193	2184	9076
194	2194	9058
195	2204	9041
196	2213	9021
197	2222	9000
198	2232	8986
199	2241	8965
200	2252	8952
201	2261	8935
202	2270	8915
203	2280	8899
204	2289	8878
205	2298	8858
206	2307	8838
